Id,Code,Name,ProvinceId,Status,IsDeleted,CreatedAt,UpdatedAt
71,85,Huyện Bắc Hà,6,1,False,2023-11-12 11:25:27.506679,
72,86,Huyện Bảo Thắng,6,1,False,2023-11-12 11:25:27.506679,
73,87,Huyện Bảo Yên,6,1,False,2023-11-12 11:25:27.506679,
74,88,Thị xã Sa Pa,6,1,False,2023-11-12 11:25:27.506679,
75,89,Huyện Văn Bàn,6,1,False,2023-11-12 11:25:27.506679,
76,94,Thành phố Điện Biên Phủ,7,1,False,2023-11-12 11:25:27.506679,
77,95,Thị Xã Mường Lay,7,1,False,2023-11-12 11:25:27.506679,
78,96,Huyện Mường Nhé,7,1,False,2023-11-12 11:25:27.506679,
79,97,Huyện Mường Chà,7,1,False,2023-11-12 11:25:27.506679,
80,98,Huyện Tủa Chùa,7,1,False,2023-11-12 11:25:27.506679,
81,99,Huyện Tuần Giáo,7,1,False,2023-11-12 11:25:27.506679,
82,100,Huyện Điện Biên,7,1,False,2023-11-12 11:25:27.506679,
83,101,Huyện Điện Biên Đông,7,1,False,2023-11-12 11:25:27.506679,
84,102,Huyện Mường Ảng,7,1,False,2023-11-12 11:25:27.506679,
85,103,Huyện Nậm Pồ,7,1,False,2023-11-12 11:25:27.506679,
86,105,Thành phố Lai Châu,8,1,False,2023-11-12 11:25:27.506679,
87,106,Huyện Tam Đường,8,1,False,2023-11-12 11:25:27.506679,
88,107,Huyện Mường Tè,8,1,False,2023-11-12 11:25:27.506679,
89,108,Huyện Sìn Hồ,8,1,False,2023-11-12 11:25:27.506679,
90,109,Huyện Phong Thổ,8,1,False,2023-11-12 11:25:27.506679,
91,110,Huyện Than Uyên,8,1,False,2023-11-12 11:25:27.506679,
92,111,Huyện Tân Uyên,8,1,False,2023-11-12 11:25:27.506679,
93,112,Huyện Nậm Nhùn,8,1,False,2023-11-12 11:25:27.506679,
94,116,Thành phố Sơn La,9,1,False,2023-11-12 11:25:27.506679,
95,118,Huyện Quỳnh Nhai,9,1,False,2023-11-12 11:25:27.506679,
96,119,Huyện Thuận Châu,9,1,False,2023-11-12 11:25:27.506679,
97,120,Huyện Mường La,9,1,False,2023-11-12 11:25:27.506679,
98,121,Huyện Bắc Yên,9,1,False,2023-11-12 11:25:27.506679,
99,122,Huyện Phù Yên,9,1,False,2023-11-12 11:25:27.506679,
100,123,Huyện Mộc Châu,9,1,False,2023-11-12 11:25:27.506679,
101,124,Huyện Yên Châu,9,1,False,2023-11-12 11:25:27.506679,
102,125,Huyện Mai Sơn,9,1,False,2023-11-12 11:25:27.506679,
103,126,Huyện Sông Mã,9,1,False,2023-11-12 11:25:27.506679,
104,127,Huyện Sốp Cộp,9,1,False,2023-11-12 11:25:27.506679,
105,128,Huyện Vân Hồ,9,1,False,2023-11-12 11:25:27.506679,
106,132,Thành phố Yên Bái,10,1,False,2023-11-12 11:25:27.506679,
107,133,Thị xã Nghĩa Lộ,10,1,False,2023-11-12 11:25:27.506679,
108,135,Huyện Lục Yên,10,1,False,2023-11-12 11:25:27.506679,
109,136,Huyện Văn Yên,10,1,False,2023-11-12 11:25:27.506679,
110,137,Huyện Mù Căng Chải,10,1,False,2023-11-12 11:25:27.506679,
111,138,Huyện Trấn Yên,10,1,False,2023-11-12 11:25:27.506679,
112,139,Huyện Trạm Tấu,10,1,False,2023-11-12 11:25:27.506679,
113,140,Huyện Văn Chấn,10,1,False,2023-11-12 11:25:27.506679,
114,141,Huyện Yên Bình,10,1,False,2023-11-12 11:25:27.506679,
115,148,Thành phố Hòa Bình,11,1,False,2023-11-12 11:25:27.506679,
116,150,Huyện Đà Bắc,11,1,False,2023-11-12 11:25:27.506679,
117,152,Huyện Lương Sơn,11,1,False,2023-11-12 11:25:27.506679,
118,153,Huyện Kim Bôi,11,1,False,2023-11-12 11:25:27.506679,
119,154,Huyện Cao Phong,11,1,False,2023-11-12 11:25:27.506679,
120,155,Huyện Tân Lạc,11,1,False,2023-11-12 11:25:27.506679,
121,156,Huyện Mai Châu,11,1,False,2023-11-12 11:25:27.506679,
122,157,Huyện Lạc Sơn,11,1,False,2023-11-12 11:25:27.506679,
123,158,Huyện Yên Thủy,11,1,False,2023-11-12 11:25:27.506679,
124,159,Huyện Lạc Thủy,11,1,False,2023-11-12 11:25:27.506679,
125,164,Thành phố Thái Nguyên,12,1,False,2023-11-12 11:25:27.506679,
126,165,Thành phố Sông Công,12,1,False,2023-11-12 11:25:27.506679,
127,167,Huyện Định Hóa,12,1,False,2023-11-12 11:25:27.506679,
128,168,Huyện Phú Lương,12,1,False,2023-11-12 11:25:27.506679,
129,169,Huyện Đồng Hỷ,12,1,False,2023-11-12 11:25:27.506679,
130,170,Huyện Võ Nhai,12,1,False,2023-11-12 11:25:27.506679,
131,171,Huyện Đại Từ,12,1,False,2023-11-12 11:25:27.506679,
132,172,Thành phố Phổ Yên,12,1,False,2023-11-12 11:25:27.506679,
133,173,Huyện Phú Bình,12,1,False,2023-11-12 11:25:27.506679,
134,178,Thành phố Lạng Sơn,13,1,False,2023-11-12 11:25:27.506679,
135,180,Huyện Tràng Định,13,1,False,2023-11-12 11:25:27.506679,
136,181,Huyện Bình Gia,13,1,False,2023-11-12 11:25:27.506679,
137,182,Huyện Văn Lãng,13,1,False,2023-11-12 11:25:27.506679,
138,183,Huyện Cao Lộc,13,1,False,2023-11-12 11:25:27.506679,
139,184,Huyện Văn Quan,13,1,False,2023-11-12 11:25:27.506679,
140,185,Huyện Bắc Sơn,13,1,False,2023-11-12 11:25:27.506679,
141,186,Huyện Hữu Lũng,13,1,False,2023-11-12 11:25:27.506679,
142,187,Huyện Chi Lăng,13,1,False,2023-11-12 11:25:27.506679,
143,188,Huyện Lộc Bình,13,1,False,2023-11-12 11:25:27.506679,
144,189,Huyện Đình Lập,13,1,False,2023-11-12 11:25:27.506679,
145,193,Thành phố Hạ Long,14,1,False,2023-11-12 11:25:27.506679,
146,194,Thành phố Móng Cái,14,1,False,2023-11-12 11:25:27.506679,
147,195,Thành phố Cẩm Phả,14,1,False,2023-11-12 11:25:27.506679,
148,196,Thành phố Uông Bí,14,1,False,2023-11-12 11:25:27.506679,
149,198,Huyện Bình Liêu,14,1,False,2023-11-12 11:25:27.506679,
150,199,Huyện Tiên Yên,14,1,False,2023-11-12 11:25:27.506679,
151,200,Huyện Đầm Hà,14,1,False,2023-11-12 11:25:27.506679,
152,201,Huyện Hải Hà,14,1,False,2023-11-12 11:25:27.506679,
153,202,Huyện Ba Chẽ,14,1,False,2023-11-12 11:25:27.506679,
154,203,Huyện Vân Đồn,14,1,False,2023-11-12 11:25:27.506679,
155,205,Thị xã Đông Triều,14,1,False,2023-11-12 11:25:27.506679,
156,206,Thị xã Quảng Yên,14,1,False,2023-11-12 11:25:27.506679,
157,207,Huyện Cô Tô,14,1,False,2023-11-12 11:25:27.506679,
158,213,Thành phố Bắc Giang,15,1,False,2023-11-12 11:25:27.506679,
159,215,Huyện Yên Thế,15,1,False,2023-11-12 11:25:27.506679,
160,216,Huyện Tân Yên,15,1,False,2023-11-12 11:25:27.506679,
161,217,Huyện Lạng Giang,15,1,False,2023-11-12 11:25:27.506679,
162,218,Huyện Lục Nam,15,1,False,2023-11-12 11:25:27.506679,
163,219,Huyện Lục Ngạn,15,1,False,2023-11-12 11:25:27.506679,
164,220,Huyện Sơn Động,15,1,False,2023-11-12 11:25:27.506679,
165,221,Huyện Yên Dũng,15,1,False,2023-11-12 11:25:27.506679,
166,222,Huyện Việt Yên,15,1,False,2023-11-12 11:25:27.506679,
167,223,Huyện Hiệp Hòa,15,1,False,2023-11-12 11:25:27.506679,
168,227,Thành phố Việt Trì,16,1,False,2023-11-12 11:25:27.506679,
169,228,Thị xã Phú Thọ,16,1,False,2023-11-12 11:25:27.506679,
170,230,Huyện Đoan Hùng,16,1,False,2023-11-12 11:25:27.506679,
171,231,Huyện Hạ Hoà,16,1,False,2023-11-12 11:25:27.506679,
172,232,Huyện Thanh Ba,16,1,False,2023-11-12 11:25:27.506679,
173,233,Huyện Phù Ninh,16,1,False,2023-11-12 11:25:27.506679,
174,234,Huyện Yên Lập,16,1,False,2023-11-12 11:25:27.506679,
175,235,Huyện Cẩm Khê,16,1,False,2023-11-12 11:25:27.506679,
176,236,Huyện Tam Nông,16,1,False,2023-11-12 11:25:27.506679,
177,237,Huyện Lâm Thao,16,1,False,2023-11-12 11:25:27.506679,
178,238,Huyện Thanh Sơn,16,1,False,2023-11-12 11:25:27.506679,
179,239,Huyện Thanh Thuỷ,16,1,False,2023-11-12 11:25:27.506679,
180,240,Huyện Tân Sơn,16,1,False,2023-11-12 11:25:27.506679,
181,243,Thành phố Vĩnh Yên,17,1,False,2023-11-12 11:25:27.506679,
182,244,Thành phố Phúc Yên,17,1,False,2023-11-12 11:25:27.506679,
183,246,Huyện Lập Thạch,17,1,False,2023-11-12 11:25:27.506679,
184,247,Huyện Tam Dương,17,1,False,2023-11-12 11:25:27.506679,
185,248,Huyện Tam Đảo,17,1,False,2023-11-12 11:25:27.506679,
186,249,Huyện Bình Xuyên,17,1,False,2023-11-12 11:25:27.506679,
